ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
040012000,269900,29322361,604,13TH ST NW,,LOT BK 37 PRESTON HEIGHTS,5488.56
040017000,123200,29322362,1202,ROSSER AVE E,,LOT BK 37 PRESTON HEIGHTS,3571.92
040018000,353700,29322363,1203,GRADY AVE,,"PT LOTS 1-8,LOT 19 BK 37 P HGT",18164.52
040007000,246200,29322364,1301,GRADY AVE,,PT LOT 1 BK 38 PRESTON HEIGHTS,3702.6
040013000,182700,29322365,602,13TH ST NW,,LOT 13&PT 12 BK 37 PRESTON HGT,5357.88
040111000,507700,29322366,510,14TH ST NW,,LOT 1 BK 10 PRESTON HEIGHTS,7623
040016000,190300,29322367,1205,GRADY AVE,,LOT BK 37 PRESTON HEIGTHS,5140.08
040014000,162700,29322368,1215,GRADY AVE,,LOT A  BK 37 PRESTON HEIGHTS,4660.92
040022000,162900,29322369,1104,ROSSER AVE E,,LOTS 10&18 BK 36 PRESTON HGTS,6621.12
040023000,290400,29322370,521,11TH ST NW,,LOT 1 PRESTON HEIGHTS,4791.6
040039200,318400,29322371,612,11TH ST NW,,LOT 3 JOHN WEST LOTS,7187.4
040019000,265500,29322372,604,12TH ST NW,,PT LOTS 11-17 BK 36 PRESTON HG,0
040039000,203300,29322373,615,10 1/2 ST NW,,LOT 1 JOHN WEST LOTS,7056.72
040112000,418200,29322374,508,14TH ST NW,,LOT 2 BK 10 PRESTON HEIGHTS,6229.08
040110000,186200,29322375,523,13TH ST NW,,PT LOT 1 BK 10 PRESTON HGTS,5009.4
040020000,282600,29322376,1105,GRADY AVE,,PT LOTS 11-17 BK 36 PRESTON HG,7753.68
040024000,199400,29322377,517,11TH ST NW,,LOT 2 & PAR X PRESTON HGTS,3920.4
040021000,206900,29322378,1101,GRADY AVE,,PT LOTS 11-17 BK 36 PRESTON HG,7753.68
040040000,155400,29322379,608,10 1/2 ST NW,,LOTS 22&22 1/2 JOHN WEST LOT,10585.08
