,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
16021,18202,240221000,2016-04-14,82215,,735 ORANGEDALE AVE,Single Family Attached,38.023401,-78.496742,8
16023,18204,240222000,2018-04-26,145000,,737 ORANGEDALE AVE,Single Family Attached,38.023317,-78.49679499999999,8
16024,18205,240223000,2002-05-31,62000,,739 ORANGEDALE AVE,Single Family Attached,38.0232651,-78.4968372,8
16027,18208,240224000,2016-03-31,130000,,741 ORANGEDALE AVE,Single Family Attached,38.023151,-78.49691899999999,8
16028,18209,240224000,2000-05-11,38000,,741 ORANGEDALE AVE,Single Family Attached,38.023151,-78.49691899999999,8
16030,18211,240224000,2015-11-25,47752,,741 ORANGEDALE AVE,Single Family Attached,38.023151,-78.49691899999999,8
16035,18216,240225000,2004-04-01,81200,,743 ORANGEDALE AVE,Single Family Attached,38.023076,-78.496983,8
16038,18219,240226000,2009-09-10,141500,,745 ORANGEDALE AVE,Single Family Attached,38.022995,-78.49704399999999,8
16040,18221,240227000,2005-08-23,125000,,747 ORANGEDALE AVE,Single Family Attached,38.022914,-78.497102,8
16042,18223,240227000,2019-10-24,171000,,747 ORANGEDALE AVE,Single Family Attached,38.022914,-78.497102,8
16046,18227,240227000,2004-07-28,72775,,747 ORANGEDALE AVE,Single Family Attached,38.022914,-78.497102,8
16047,18228,240227000,2017-07-10,107000,,747 ORANGEDALE AVE,Single Family Attached,38.022914,-78.497102,8
16050,18231,240228000,2000-12-29,65000,,749 ORANGEDALE AVE,Single Family Attached,38.022833,-78.497164,8
16052,18233,240229000,2017-03-28,120000,,751 ORANGEDALE AVE,Single Family Attached,38.022749,-78.497225,8
16054,18235,240230000,2005-06-21,135000,,753 ORANGEDALE AVE,Single Family Attached,38.0226196,-78.4973255,8
16058,18239,240231000,2015-02-13,105000,,755 ORANGEDALE AVE,Single Family Attached,38.0225859,-78.497349,8
16062,18243,240233000,2003-12-04,57000,,759 ORANGEDALE AVE,Single Family Attached,38.022426,-78.497472,8
16063,18244,240233000,2005-11-04,270000,,759 ORANGEDALE AVE,Single Family Attached,38.022426,-78.497472,8
16065,18246,240233000,2003-10-17,66200,,759 ORANGEDALE AVE,Single Family Attached,38.022426,-78.497472,8
16067,18248,240234000,2006-06-02,129000,,761 ORANGEDALE AVE,Single Family Attached,38.022342,-78.49753199999999,8
16071,18252,240235000,2000-04-25,41360,,763 ORANGEDALE AVE,Single Family Attached,38.022261,-78.49759499999999,8
16078,18259,240236000,2003-11-21,83000,,765 ORANGEDALE AVE,Single Family Attached,38.0221649,-78.4976806,8
16085,18266,240238000,2000-08-31,58500,,769 ORANGEDALE AVE,Single Family Attached,38.022021,-78.49778,8
16086,18267,240239000,2019-12-19,105000,,771 ORANGEDALE AVE,Single Family Attached,38.02194,-78.49784,8
16088,18269,240239000,2019-10-07,110970,,771 ORANGEDALE AVE,Single Family Attached,38.02194,-78.49784,8
16091,18272,240240000,2003-06-05,62000,,788 PROSPECT AVE,Single Family Attached,38.0220774,-78.49609720000001,8
16098,18279,240243000,2013-10-16,114314,,794 PROSPECT AVE,Single Family Attached,38.021840999999995,-78.49622,8
16100,18281,240243000,2004-07-01,119000,,794 PROSPECT AVE,Single Family Attached,38.021840999999995,-78.49622,8
16101,18282,240243000,2017-03-31,115000,,794 PROSPECT AVE,Single Family Attached,38.021840999999995,-78.49622,8
16102,18283,240243000,2013-05-06,72039,,794 PROSPECT AVE,Single Family Attached,38.021840999999995,-78.49622,8
16103,18284,240244000,2002-05-03,55000,,796 PROSPECT AVE,Single Family Attached,38.021766,-78.49629300000001,8
16106,18287,240245000,2004-05-11,90000,,798 PROSPECT AVE,Single Family Attached,38.021685,-78.496346,8
16109,18290,240246000,2016-08-22,131000,,625 BAILEY RD,Single Family Attached,38.021552500000006,-78.4965128,8
